reference,customer_name,status
TV-20348,Golden Packaging,in_transit
TV-20349,Silverline Trading,created
TV-20350,Ironbark Apparel,failed
TV-20351,Eastlink Grocers,delivered
TV-20352,Sunrise Industrial Pty Ltd,created
TV-20353,Redgum Industrial,created
TV-20354,Eastlink Retail,delivered
TV-20355,Northern Motors,delivered
TV-20356,Summit Industrial Pty Ltd,in_transit
TV-20357,Baywater Textiles Group,in_transit
TV-20358,Eastlink Textiles Co,in_transit
TV-20359,Silverline Distribution Pty Ltd,picked_up
TV-20360,Harbour Wholesale Holdings,picked_up
TV-20361,Riverside Industrial Co,created
TV-20362,Coastal Chemicals,created
TV-20363,Coastal Grocers,created
TV-20364,Silverline Packaging Pty Ltd,in_transit
TV-20365,Riverside Textiles Holdings,picked_up
TV-20366,Golden Components,created
TV-20367,Silverline Hardware Group,created
TV-20368,Redgum Distribution Pty Ltd,in_transit
TV-20369,Redgum Beverages,in_transit
TV-20370,Fairwind Supplies Co,delivered
TV-20371,Silverline Foods Pty Ltd,created
TV-20372,Silverline Freight Holdings,in_transit
TV-20373,Fairwind Foods Holdings,delivered
TV-20374,Summit Freight Holdings,picked_up
TV-20375,Northern Chemicals,in_transit
TV-20376,Kingsway Freight,in_transit
TV-20377,Riverside Foods,delivered
TV-20378,Eastlink Motors,delivered
TV-20379,Stonebridge Foods Pty Ltd,picked_up
TV-20380,Sunrise Grocers,created
TV-20381,Golden Components,in_transit
TV-20382,Fairwind Chemicals,created
TV-20383,Ironbark Components,failed
TV-20384,Westgate Trading,created
TV-20385,Sunrise Motors Pty Ltd,delivered
TV-20386,Eastlink Foods Pty Ltd,failed
TV-20387,Lakeside Packaging Holdings,picked_up
TV-20388,Fairwind Motors,created
TV-20389,Sunrise Electronics,picked_up
TV-20390,Fairwind Wholesale,created
TV-20391,Baywater Pharma,created
TV-20392,Riverside Motors,picked_up
TV-20393,Westgate Freight Group,delivered
TV-20394,Kingsway Beverages,in_transit
TV-20395,Westgate Wholesale Co,in_transit
TV-20396,Harbour Apparel,picked_up
TV-20397,Ironbark Hardware,delivered
TV-20398,Harbour Pharma,created
TV-20399,Blackwood Textiles Co,created
TV-20400,Silverline Retail,in_transit
TV-20401,Kingsway Textiles,delivered
TV-20402,Coastal Freight Holdings,in_transit
TV-20403,Parkview Logistics,picked_up
TV-20404,Golden Hardware,created
TV-20405,Westgate Retail,in_transit
TV-20406,Stonebridge Components,in_transit
TV-20407,Northern Trading,in_transit
TV-20408,Eastlink Apparel Pty Ltd,in_transit
TV-20409,Highfield Industrial,picked_up
TV-20410,Kingsway Industrial Co,delivered
TV-20411,Blackwood Hardware Pty Ltd,in_transit
TV-20412,Highfield Supplies,picked_up
TV-20413,Coastal Retail,in_transit
TV-20414,Kingsway Trading Group,in_transit
TV-20415,Westgate Motors,in_transit
TV-20416,Golden Chemicals,in_transit
TV-20417,Summit Supplies Pty Ltd,created
TV-20418,Blackwood Components,delivered
TV-20419,Stonebridge Industrial,in_transit
TV-20420,Harbour Foods,created
TV-20421,Riverside Beverages Group,picked_up
TV-20422,Fairwind Pharma,failed
TV-20423,Harbour Packaging,created
TV-20424,Lakeside Logistics Pty Ltd,in_transit
TV-20425,Golden Motors,picked_up
TV-20426,Harbour Foods,picked_up
TV-20427,Highfield Freight,delivered
TV-20428,Ironbark Freight,delivered
TV-20429,Eastlink Freight Group,created
TV-20430,Baywater Distribution Pty Ltd,delivered
TV-20431,Eastlink Chemicals,created
TV-20432,Fairwind Industrial,in_transit
TV-20433,Baywater Foods Group,failed
TV-20434,Stonebridge Hardware,in_transit
TV-20435,Blackwood Motors Holdings,in_transit
TV-20436,Ironbark Electronics,in_transit
TV-20437,Coastal Wholesale,in_transit
TV-20438,Silverline Packaging,delivered
TV-20439,Highfield Apparel,in_transit
TV-20440,Coastal Pharma Co,in_transit
TV-20441,Kingsway Hardware,delivered
TV-20442,Ironbark Motors Holdings,delivered
TV-20443,Fairwind Electronics,delivered
TV-20444,Silverline Electronics,created
TV-20445,Highfield Chemicals Co,created
TV-20446,Summit Textiles,in_transit
TV-20447,Northern Chemicals Pty Ltd,delivered
TV-20448,Highfield Textiles,in_transit
TV-20449,Westgate Wholesale Group,created
TV-20450,Eastlink Distribution,created
TV-20451,Fairwind Logistics,in_transit
TV-20452,Silverline Chemicals Co,picked_up
TV-20453,Westgate Textiles Holdings,picked_up
TV-20454,Redgum Chemicals Pty Ltd,in_transit
TV-20455,Sunrise Pharma Group,created
TV-20456,Fairwind Apparel Group,in_transit
TV-20457,Redgum Components,created
TV-20458,Riverside Trading,delivered
TV-20459,Lakeside Wholesale,created
TV-20460,Highfield Electronics Holdings,failed
TV-20461,Redgum Beverages Holdings,created
TV-20462,Silverline Foods,picked_up
TV-20463,Golden Wholesale Pty Ltd,in_transit
TV-20464,Silverline Trading,in_transit
TV-20465,Stonebridge Chemicals,picked_up
TV-20466,Silverline Chemicals,delivered
TV-20467,Blackwood Beverages Holdings,in_transit
TV-20468,Redgum Foods,delivered
TV-20469,Stonebridge Grocers,delivered
TV-20470,Parkview Electronics Holdings,delivered
TV-20471,Golden Beverages,picked_up
TV-20472,Fairwind Foods Pty Ltd,in_transit
TV-20473,Harbour Pharma,created
TV-20474,Golden Beverages Pty Ltd,delivered
TV-20475,Eastlink Components Co,in_transit
TV-20476,Riverside Electronics,delivered
TV-20477,Redgum Hardware Holdings,picked_up
TV-20478,Kingsway Grocers Group,in_transit
TV-20479,Baywater Freight Holdings,in_transit
TV-20480,Redgum Electronics,in_transit
TV-20481,Parkview Foods Group,delivered
TV-20482,Blackwood Wholesale Group,delivered
TV-20483,Highfield Hardware,delivered
TV-20484,Summit Textiles,in_transit
TV-20485,Lakeside Foods Pty Ltd,in_transit
TV-20486,Highfield Distribution Holdings,delivered
TV-20487,Stonebridge Packaging Group,delivered
TV-20488,Eastlink Trading,picked_up
TV-20489,Ironbark Electronics,created
TV-20490,Westgate Trading Group,created
TV-20491,Parkview Components,created
TV-20492,Kingsway Electronics Group,in_transit
TV-20493,Coastal Grocers Holdings,in_transit
TV-20494,Summit Supplies Co,created
TV-20495,Silverline Foods,delivered
TV-20496,Parkview Beverages,picked_up
TV-20497,Kingsway Components Co,in_transit
TV-20498,Riverside Freight Co,delivered
TV-20499,Parkview Supplies Holdings,in_transit
TV-20500,Summit Trading Group,created
TV-20501,Westgate Textiles Co,delivered
TV-20502,Ironbark Components Pty Ltd,delivered
TV-20503,Summit Industrial Holdings,picked_up
TV-20504,Blackwood Motors Pty Ltd,delivered
TV-20505,Highfield Industrial,in_transit
TV-20506,Summit Logistics Group,delivered
TV-20507,Harbour Distribution,delivered
TV-20508,Eastlink Electronics Pty Ltd,delivered
TV-20509,Riverside Industrial,in_transit
TV-20510,Sunrise Hardware,delivered
TV-20511,Lakeside Pharma,delivered
TV-20512,Blackwood Trading,in_transit
TV-20513,Parkview Industrial,in_transit
TV-20514,Parkview Packaging Holdings,created
TV-20515,Westgate Components,failed
TV-20516,Fairwind Packaging Co,created
TV-20517,Stonebridge Packaging Holdings,delivered
TV-20518,Summit Distribution,delivered
TV-20519,Eastlink Wholesale Holdings,created
TV-20520,Ironbark Components Group,in_transit
TV-20521,Silverline Industrial,created
TV-20522,Parkview Beverages,in_transit
TV-20523,Blackwood Packaging Group,delivered
TV-20524,Blackwood Supplies,picked_up
TV-20525,Kingsway Logistics,delivered
TV-20526,Harbour Foods,failed
TV-20527,Stonebridge Wholesale,delivered
TV-20528,Kingsway Components Co,delivered
TV-20529,Kingsway Electronics,in_transit
TV-20530,Westgate Freight Pty Ltd,in_transit
TV-20531,Fairwind Electronics Holdings,picked_up
TV-20532,Summit Grocers Co,picked_up
TV-20533,Parkview Motors Pty Ltd,created
TV-20534,Summit Hardware Holdings,delivered
TV-20535,Stonebridge Chemicals Pty Ltd,picked_up
TV-20536,Eastlink Distribution,delivered
TV-20537,Harbour Industrial,in_transit
TV-20538,Blackwood Foods Pty Ltd,created
TV-20539,Northern Distribution,in_transit
TV-20540,Eastlink Packaging,created
TV-20541,Parkview Freight Group,in_transit
TV-20542,Eastlink Apparel,delivered
TV-20543,Fairwind Beverages,in_transit
TV-20544,Harbour Packaging,in_transit
TV-20545,Blackwood Packaging,in_transit
TV-20546,Coastal Foods Co,delivered
TV-20547,Golden Packaging,created
TV-20548,Northern Pharma,delivered
TV-20549,Kingsway Electronics Group,picked_up
TV-20550,Baywater Wholesale,created
TV-20551,Silverline Motors,delivered
TV-20552,Westgate Industrial,in_transit
TV-20553,Summit Hardware Holdings,delivered
TV-20554,Baywater Components,created
TV-20555,Highfield Electronics,failed
TV-20556,Kingsway Industrial,delivered
TV-20557,Stonebridge Chemicals,created
TV-20558,Golden Hardware Group,delivered
TV-20559,Ironbark Trading,delivered
TV-20560,Westgate Trading Group,in_transit
TV-20561,Northern Components Co,in_transit
TV-20562,Coastal Industrial,delivered
TV-20563,Summit Electronics Group,picked_up
TV-20564,Baywater Hardware,delivered
TV-20565,Highfield Retail Co,created
TV-20566,Stonebridge Retail Group,delivered
TV-20567,Harbour Foods Group,in_transit
TV-20568,Redgum Motors Group,in_transit
TV-20569,Redgum Textiles Holdings,in_transit
TV-20570,Highfield Hardware Co,picked_up
TV-20571,Riverside Textiles,delivered
TV-20572,Parkview Supplies Co,delivered
TV-20573,Fairwind Freight Holdings,created
TV-20574,Riverside Retail Co,delivered
TV-20575,Highfield Motors Pty Ltd,delivered
TV-20576,Harbour Logistics Holdings,in_transit
TV-20577,Parkview Freight Pty Ltd,created
TV-20578,Fairwind Electronics,delivered
TV-20579,Summit Industrial,in_transit
TV-20580,Eastlink Packaging,delivered
TV-20581,Stonebridge Trading Holdings,created
TV-20582,Westgate Textiles,in_transit
TV-20583,Silverline Components,delivered
TV-20584,Lakeside Retail Holdings,in_transit
TV-20585,Northern Industrial Co,delivered
TV-20586,Coastal Logistics,in_transit
TV-20587,Sunrise Freight,delivered
TV-20588,Baywater Beverages,picked_up
TV-20589,Baywater Packaging Holdings,in_transit
TV-20590,Parkview Wholesale Co,created
TV-20591,Silverline Hardware,created
TV-20592,Redgum Industrial Group,failed
TV-20593,Lakeside Distribution,delivered
TV-20594,Westgate Packaging,delivered
TV-20595,Ironbark Grocers Holdings,delivered
TV-20596,Parkview Hardware,created
TV-20597,Summit Wholesale,picked_up
TV-20598,Harbour Chemicals,in_transit
TV-20599,Golden Textiles,delivered
TV-20600,Highfield Pharma Holdings,created
TV-20601,Redgum Textiles Co,delivered
TV-20602,Kingsway Distribution,created
TV-20603,Highfield Supplies,created
TV-20604,Lakeside Packaging Pty Ltd,created
TV-20605,Parkview Hardware Pty Ltd,created
TV-20606,Golden Wholesale Co,failed
TV-20607,Highfield Beverages Group,in_transit
TV-20608,Northern Pharma Co,picked_up
TV-20609,Parkview Logistics,delivered
TV-20610,Harbour Pharma Holdings,picked_up
TV-20611,Ironbark Electronics Group,delivered
TV-20612,Silverline Beverages Co,created
TV-20613,Eastlink Supplies Pty Ltd,created
TV-20614,Northern Foods,delivered
TV-20615,Fairwind Supplies,in_transit
TV-20616,Summit Motors Group,created
TV-20617,Summit Foods,picked_up
TV-20618,Sunrise Pharma Co,in_transit
TV-20619,Golden Beverages Pty Ltd,created
TV-20620,Fairwind Apparel Group,picked_up
TV-20621,Ironbark Beverages Co,picked_up
TV-20622,Highfield Hardware,created
TV-20623,Parkview Wholesale,in_transit
TV-20624,Redgum Wholesale,in_transit
TV-20625,Blackwood Freight Group,picked_up
TV-20626,Lakeside Chemicals,failed
TV-20627,Northern Chemicals Pty Ltd,in_transit
TV-20628,Sunrise Beverages Pty Ltd,created
TV-20629,Riverside Retail Pty Ltd,picked_up
TV-20630,Silverline Components Co,failed
TV-20631,Ironbark Chemicals Group,delivered
TV-20632,Riverside Industrial Group,in_transit
TV-20633,Ironbark Trading Group,in_transit
TV-20634,Lakeside Trading,created
TV-20635,Fairwind Hardware Co,picked_up
TV-20636,Golden Chemicals Pty Ltd,in_transit
TV-20637,Ironbark Supplies,created
TV-20638,Baywater Textiles Holdings,delivered
TV-20639,Eastlink Distribution,delivered
TV-20640,Eastlink Retail Pty Ltd,created
TV-20641,Sunrise Pharma Pty Ltd,in_transit
TV-20642,Lakeside Chemicals,in_transit
TV-20643,Parkview Grocers Holdings,picked_up
TV-20644,Summit Logistics Co,picked_up
TV-20645,Silverline Wholesale Holdings,delivered
TV-20646,Sunrise Freight Group,delivered
TV-20647,Sunrise Grocers,in_transit
TV-20648,Fairwind Freight Pty Ltd,in_transit
TV-20649,Baywater Beverages Co,delivered
TV-20650,Silverline Chemicals Pty Ltd,delivered
TV-20651,Sunrise Supplies,delivered
TV-20652,Sunrise Grocers Group,created
TV-20653,Westgate Industrial,in_transit
TV-20654,Kingsway Apparel Pty Ltd,in_transit
TV-20655,Kingsway Components,delivered
TV-20656,Lakeside Motors Holdings,delivered
TV-20657,Baywater Trading Group,created
TV-20658,Summit Freight Group,created
TV-20659,Stonebridge Retail Co,in_transit
TV-20660,Lakeside Hardware,created
TV-20661,Blackwood Industrial,failed
TV-20662,Redgum Components Co,delivered
TV-20663,Kingsway Grocers,created
TV-20664,Highfield Textiles Pty Ltd,in_transit
TV-20665,Golden Chemicals,failed
TV-20666,Eastlink Textiles Holdings,created
TV-20667,Harbour Chemicals,in_transit
